Timestamp	From  To    Distance (mm)
1706773748	ab    ab    702
1706773749	ab    ab    674
1706773750	ab    ab    685
1706773751	ab    ab    673
1706773752	ab    ab    594
1706773753	ab    ab    612
1706773754	ab    ab    641
1706773755	ab    ab    660
1706773756	ab    ab    601
1706773757	ab    ab    2147483649
1706773758	ab    ab    2147483649
1706773759	ab    ab    589
1706773760	ab    ab    645
1706773761	ab    ab    2147483649
1706773762	ab    ab    636
1706773763	ab    ab    657
1706773764	ab    ab    616
1706773765	ab    ab    636
1706773766	ab    ab    618
1706773767	ab    ab    647
1706773768	ab    ab    647
1706773769	ab    ab    651
1706773770	ab    ab    576
1706773771	ab    ab    633
1706773772	ab    ab    577
1706773773	ab    ab    600
1706773774	ab    ab    615
1706773775	ab    ab    611
1706773776	ab    ab    579
1706773777	ab    ab    641
1706773778	ab    ab    650
1706773779	ab    ab    628
1706773780	ab    ab    664
1706773781	ab    ab    627
1706773782	ab    ab    649
1706773783	ab    ab    2147483649
1706773784	ab    ab    2147483649
1706773785	ab    ab    2147483649
1706773786	ab    ab    2147483649
1706773787	ab    ab    2147483649
1706773788	ab    ab    2147483649
1706773803	ab    ab    2147483649
1706773804	ab    ab    2147483649
1706773805	ab    ab    2147483649
1706773806	ab    ab    2147483649
1706773807	ab    ab    2147483649
1706773808	ab    ab    2147483649
1706773809	ab    ab    2147483649
1706773823	ab    ab    2147483649
1706773824	ab    ab    2147483649
1706773825	ab    ab    2147483649
1706773826	ab    ab    2147483649
1706773827	ab    ab    427
1706773828	ab    ab    416
1706773829	ab    ab    361
1706773830	ab    ab    429
1706773831	ab    ab    429
1706773832	ab    ab    413
1706773833	ab    ab    422
1706773834	ab    ab    474
1706773835	ab    ab    394
1706773836	ab    ab    450
1706773837	ab    ab    409
1706773838	ab    ab    438
1706773839	ab    ab    431
1706773840	ab    ab    448
1706773841	ab    ab    408
1706773842	ab    ab    480
1706773843	ab    ab    501
1706773844	ab    ab    402
1706773845	ab    ab    405
1706773846	ab    ab    450
1706773847	ab    ab    428
1706773848	ab    ab    412
1706773849	ab    ab    475
1706773850	ab    ab    389
1706773851	ab    ab    435
1706773852	ab    ab    427
1706773853	ab    ab    2147483649
