Timestamp	From  To    Distance (mm)
1706773747	ab    a5    621
1706773748	ab    a5    702
1706773749	ab    a5    674
1706773750	ab    a5    685
1706773751	ab    a5    673
1706773752	ab    a5    594
1706773753	ab    a5    612
1706773754	ab    a5    641
1706773755	ab    a5    660
1706773756	ab    a5    601
1706773757	ab    a5    2147483649
1706773758	ab    a5    2147483649
1706773759	ab    a5    589
1706773760	ab    a5    645
1706773761	ab    a5    2147483649
1706773762	ab    a5    636
1706773763	ab    a5    657
1706773764	ab    a5    616
1706773765	ab    a5    636
1706773766	ab    a5    618
1706773767	ab    a5    647
1706773768	ab    a5    647
1706773769	ab    a5    651
1706773770	ab    a5    576
1706773771	ab    a5    633
1706773772	ab    a5    577
1706773773	ab    a5    600
1706773774	ab    a5    615
1706773775	ab    a5    611
1706773776	ab    a5    579
1706773777	ab    a5    641
1706773778	ab    a5    650
1706773779	ab    a5    628
1706773780	ab    a5    664
1706773781	ab    a5    627
1706773782	ab    a5    649
1706773783	ab    a5    2147483649
1706773828	ab    a5    287
1706773829	ab    a5    361
1706773830	ab    a5    429
1706773831	ab    a5    429
1706773832	ab    a5    413
1706773833	ab    a5    422
1706773834	ab    a5    474
1706773835	ab    a5    394
1706773836	ab    a5    450
1706773837	ab    a5    409
1706773838	ab    a5    438
1706773839	ab    a5    431
1706773840	ab    a5    448
1706773841	ab    a5    408
1706773842	ab    a5    480
1706773843	ab    a5    501
1706773844	ab    a5    402
1706773845	ab    a5    405
1706773846	ab    a5    450
1706773847	ab    a5    428
1706773848	ab    a5    412
1706773849	ab    a5    475
1706773850	ab    a5    389
1706773851	ab    a5    435
1706773852	ab    a5    427
